Algorithm,Test Accuracy,Precision (Macro),Recall (Macro),Macro F1,Weighted F1,CV Mean,CV Std,Train Time (s)
LinearSVC (Current),97.32620320855615,97.35068545681142,97.27096905078557,97.27954290190898,97.32343610254968,97.54010695187165,0.4965557318069219,0.53
Logistic Regression,96.96969696969697,96.97689060933237,96.9106086904252,96.91471238223976,96.96721214135763,97.50445632798574,0.5748490373118393,0.56
Random Forest,96.79144385026738,96.8080531908283,96.74201337587492,96.74972261483332,96.80208816612141,96.50623885918004,0.7444068812057428,0.86
Multinomial Naive Bayes,96.6131907308378,96.61387590394949,96.54524415992306,96.55206629475155,96.6156361359133,97.0053475935829,0.5681774492160129,0.35
